Area,Kernel L,Kernel W,Groove L,Species
15.26,5.763,3.312,5.22,Kama
14.88,5.554,3.333,4.956,Kama
14.29,5.291,3.337,4.825,Kama
13.84,5.324,3.379,4.805,Kama
16.14,5.658,3.562,5.175,Kama
14.38,5.386,3.312,4.956,Kama
14.69,5.563,3.259,5.219,Kama
14.11,5.42,3.302,5,Kama
16.63,6.053,3.465,5.877,Kama
16.44,5.884,3.505,5.533,Kama
15.26,5.714,3.242,5.314,Kama
14.03,5.438,3.201,5.001,Kama
13.89,5.439,3.199,4.738,Kama
13.78,5.479,3.156,4.872,Kama
13.74,5.482,3.114,4.825,Kama
14.59,5.351,3.333,4.781,Kama
13.99,5.119,3.383,4.781,Kama
15.69,5.527,3.514,5.046,Kama
14.7,5.205,3.466,4.649,Kama
12.72,5.226,3.049,4.914,Kama
14.16,5.658,3.129,5.176,Kama
14.11,5.52,3.168,5.219,Kama
15.88,5.618,3.507,5.091,Kama
12.08,5.099,2.936,4.961,Kama
15.01,5.789,3.245,5.001,Kama
16.19,5.833,3.421,5.307,Kama
13.02,5.395,3.026,4.825,Kama
12.74,5.395,2.956,4.869,Kama
14.11,5.541,3.221,5.038,Kama
13.45,5.516,3.065,5.097,Kama
13.16,5.454,2.975,5.056,Kama
15.49,5.757,3.371,5.228,Kama
14.09,5.717,3.186,5.299,Kama
13.94,5.585,3.15,5.012,Kama
15.05,5.712,3.328,5.36,Kama
16.12,5.709,3.485,5.443,Kama
16.2,5.826,3.464,5.527,Kama
17.08,5.832,3.683,5.484,Kama
14.8,5.656,3.288,5.309,Kama
14.28,5.397,3.298,5.001,Kama
13.54,5.348,3.156,5.178,Kama
13.5,5.351,3.158,5.176,Kama
13.16,5.138,3.201,4.783,Kama
15.5,5.877,3.396,5.528,Kama
15.11,5.579,3.462,5.18,Kama
13.8,5.376,3.155,4.961,Kama
15.36,5.701,3.393,5.132,Kama
14.99,5.57,3.377,5.175,Kama
14.79,5.545,3.291,5.111,Kama
14.86,5.678,3.258,5.351,Kama
14.43,5.585,3.272,5.144,Kama
15.78,5.674,3.434,5.136,Kama
14.49,5.715,3.113,5.396,Kama
14.33,5.504,3.199,5.224,Kama
14.52,5.741,3.113,5.487,Kama
15.03,5.702,3.212,5.439,Kama
14.46,5.388,3.377,5.044,Kama
14.92,5.384,3.412,5.088,Kama
15.38,5.662,3.419,5.222,Kama
12.11,5.159,3.032,4.519,Kama
11.42,5.008,2.85,4.607,Kama
11.23,4.902,2.879,4.703,Kama
12.36,5.076,3.042,4.605,Kama
13.22,5.395,3.07,5.088,Kama
12.78,5.262,3.026,4.782,Kama
12.88,5.139,3.119,4.607,Kama
14.34,5.63,3.19,5.15,Kama
14.01,5.609,3.158,5.132,Kama
14.37,5.569,3.153,5.3,Kama
12.73,5.412,2.882,5.067,Kama
17.63,6.191,3.561,6.06,Rosa
16.84,5.998,3.484,5.877,Rosa
17.26,5.978,3.594,5.791,Rosa
19.11,6.154,3.93,6.079,Rosa
16.82,6.017,3.486,5.841,Rosa
16.77,5.927,3.438,5.795,Rosa
17.32,6.064,3.403,5.922,Rosa
20.71,6.579,3.814,6.451,Rosa
18.94,6.445,3.639,6.362,Rosa
17.12,5.85,3.566,5.746,Rosa
16.53,5.875,3.467,5.88,Rosa
18.72,6.006,3.857,5.879,Rosa
20.2,6.285,3.864,6.187,Rosa
19.57,6.384,3.772,6.273,Rosa
19.51,6.366,3.801,6.185,Rosa
18.27,6.173,3.651,6.197,Rosa
18.88,6.084,3.764,6.109,Rosa
18.98,6.549,3.67,6.498,Rosa
21.18,6.573,4.033,6.231,Rosa
20.88,6.45,4.032,6.321,Rosa
20.1,6.581,3.785,6.449,Rosa
18.76,6.172,3.796,6.053,Rosa
18.81,6.272,3.693,6.053,Rosa
18.59,6.037,3.86,5.877,Rosa
18.36,6.666,3.485,6.448,Rosa
16.87,6.139,3.463,5.967,Rosa
19.31,6.341,3.81,6.238,Rosa
18.98,6.449,3.552,6.453,Rosa
18.17,6.271,3.512,6.273,Rosa
18.72,6.219,3.684,6.097,Rosa
16.41,5.718,3.525,5.618,Rosa
17.99,5.89,3.694,5.837,Rosa
19.46,6.113,3.892,6.009,Rosa
19.18,6.369,3.681,6.229,Rosa
18.95,6.248,3.755,6.148,Rosa
18.83,6.037,3.786,5.879,Rosa
18.85,6.152,3.806,6.2,Rosa
17.63,6.033,3.573,5.929,Rosa
19.94,6.675,3.763,6.55,Rosa
18.55,6.153,3.674,5.894,Rosa
18.45,6.107,3.769,5.794,Rosa
19.38,6.303,3.791,5.965,Rosa
19.13,6.183,3.902,5.924,Rosa
19.14,6.259,3.737,6.053,Rosa
20.97,6.563,3.991,6.316,Rosa
19.06,6.416,3.719,6.163,Rosa
18.96,6.051,3.897,5.75,Rosa
